(2015-05-14 22:28:38,672) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_0.log
  (2015-05-14 22:28:38,673) [DEBUG] -Done!
  (2015-05-14 22:28:38,674) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_1.log
  (2015-05-14 22:28:38,674) [DEBUG] -Done!
  (2015-05-14 22:28:38,675) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_2.log
  (2015-05-14 22:28:38,675) [DEBUG] -Done!
  (2015-05-14 22:28:38,676) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_3.log
  (2015-05-14 22:28:38,676) [DEBUG] -Done!
  (2015-05-14 22:28:38,677) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_4.log
  (2015-05-14 22:28:38,677) [DEBUG] -Done!
  (2015-05-14 22:28:38,677) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_5.log
  (2015-05-14 22:28:38,678) [DEBUG] -Done!
  (2015-05-14 22:28:38,678) [WARN] -rejected
  (2015-05-14 22:28:38,678) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_6.log
  (2015-05-14 22:28:38,678) [DEBUG] -Done!
  (2015-05-14 22:28:38,678) [WARN] -rejected
  (2015-05-14 22:28:38,679) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_7.log
  (2015-05-14 22:28:38,680) [DEBUG] -Done!
  (2015-05-14 22:28:38,680) [WARN] -rejected
  (2015-05-14 22:28:38,680) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_8.log
  (2015-05-14 22:28:38,680) [DEBUG] -Done!
  (2015-05-14 22:28:38,680) [WARN] -rejected
  (2015-05-14 22:28:38,681) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_9.log
  (2015-05-14 22:28:38,681) [DEBUG] -Done!
  (2015-05-14 22:28:38,681) [WARN] -rejected
  (2015-05-14 22:28:57,326) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_0.log
  (2015-05-14 22:28:57,327) [DEBUG] -Done!
  (2015-05-14 22:28:57,327) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_1.log
  (2015-05-14 22:28:57,328) [DEBUG] -Done!
  (2015-05-14 22:28:57,328) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_2.log
  (2015-05-14 22:28:57,328) [DEBUG] -Done!
  (2015-05-14 22:28:57,329) [DEBUG] -Path: D:\workplace\Server_application\FM\2015-05-14_3.log
